Location,Weather,Date
"Somalia, Mogadishu",invalid,invalid
"Spain, Madrid",Sunny,2023-02-05
"Sri Lanka, Colombo",Thundershowers,2023-02-05
"Sudan, Khartoum",invalid,invalid
"Suriname, Paramaribo",invalid,invalid
"Sweden, Stockholm",Light Snow,2023-02-05
"Syrian Arab Republic, Damascus",invalid,invalid
"Tajikistan, Dushanbe",invalid,invalid
"United Republic of Tanzania, Dodoma",Light Rain,2023-02-05
"Thailand, Bangkok",Thundershowers,2023-02-05
"Togo, Lome",invalid,invalid
"Trinidad and Tobago, Port of Spain (Trinidad)",Isolated Showers,2023-02-04
"Tunisia, Tunis-Carthage",invalid,invalid
"Türkiye, Ankara",Snow,2023-02-05
"Turkmenistan, Ashgabat",invalid,invalid
"Uganda, Kampala",Light Showers,2023-02-05
"Ukraine, Kyiv",Light Snow,2023-02-05
"United Arab Emirates, Abu Dhabi",Fair,2023-02-05
"United Kingdom of Great Britain and Northern Ireland, London",Cloudy,2023-02-05
"United States of America, Washington DC",Sunny,2023-02-04
"Uruguay, Montevideo",invalid,invalid
"Uzbekistan, Tashkent",Rain,2023-02-05
"Vanuatu, Port Vila",Showers,2023-02-05
"Venezuela, Bolivarian Republic of, Caracas",invalid,invalid
"Viet Nam, Hanoi",Light Rain,2023-02-05
"Zambia, Lusaka",Rain,2023-02-05
"Zimbabwe, Harare",invalid,invalid
